year,scheme,title
2022,PKMPM,"Diseminasi, Edukasi, Dan Literasi Keuangan Rumah Tangga untuk meminimalisir Peran Rentenir ""Koperasi Door to door"" melalui Pendekatan Modal Sosial"
2022,PKMPM,Digitalisasi Administrasi Gereja melalui Pembangunan Sistem Informasi GKPI Tarutung Kota untuk Pengelolaan Data dan Transparansi Informasi
2022,PKMK,Inovasi Pemanfaatan Dirigen Bekas Menjadi Toples Lebaran Aestetic
2022,PKMRE,"Pengaruh Aplikasi Diagnosa Stres Akademik Menggunakan Metode Hybrid AHP, Borda, Dempster Shafer Dan Certainty Factor Bagi Mahasiswa STMIK Royal"
2022,PKMK,Detoksifikasi Tubuh dengan Inovasi Herbal Cassia Angustifolia (Daun Jati Cina)
2022,PKMPI,Optimalisasi Budidaya Tubifex Memanfaatkan Limbah Ampas Tahu Dan Kotoran Ayam Di Upr Sd Mina Jaya Kecamatan Sei Dadap Kabupaten Asahan
2022,PKMRSH,Kelangkaan Minyak Goreng Dalam Tinjauan Kebijakan Publik (Study Kasus di Kec. Medan Marelan)
2022,PKMRE,Uji Potensi Ekstrak Cacing Tanah (Lumbricus Rubellus) Sebagai Desinfektan Di Kandang Ayam Broiler
2022,PKMVGK,PENERAPAN TEKNOLOGI ANIMASI 2D UNTUK MENINGKATKAN KEPEDULIAN MASYARAKAT TERHADAP PENGOLAHAN LIMBAH SAYURAN MENJADI PUPUK KOMPOS SEDERHANA
2022,PKMK,Porang Foam: Tableware Organik Dari Umbi Porang
2022,PKMK,FERMEN-TAR (Fermentor Pintar): Teknologi Fermentor Elektronik Pengkonversi Limbah Buah Menjadi Eco-Enzyme Yang Otomatis Dan Terukur
2022,PKMK,Rancang Bangun Perangkat Sensor Fusion Berbasis Sensor Electronic Nose/Wenner Schlumburger/Electronic Eye Sebagai Detektor Tingkat Kematangan Buah Sawit
2022,PKMRE,Fabrikasi Edible Bio-Nanokomposit Carboxymethyl Cellulose Terfortifikasi Ekstrak Daun Kelor/Kitosan/Cangkang Telur Untuk Solusi Meningkatkan Kualitas Produk Pertanian
2022,PKMRE,Hidrogel Cellulosa untuk Irigasi Tetes
2022,PKMRE,Modifikasi Tanah Tiruan Dari Nanoserat Selulosa Tandan Kosong Kelapa Sawit Yang Tersalut Kitosan Sebagai Media Tanam Hidroponik Pengganti Rockwool
2022,PKMRE,Sifat Inhibitor BIOPOLIMER Minyak Atsiri Daun Serai/Bee-Pollen/Kitosan/Getah Akasia yang Temodifikasi Stiker Bioaktif Sebagai Solusi Untuk Mencegah Kerusakan Buah
2022,PKMPM,KLINIK PELATIHAN PENINGKATAN KEMAMPUAN LITERASI-NUMERASI SISWA BERBASIS TEKNOLOGI DAN PERMAINAN DI SD SWASTA LUIS BETLEHEM KECAMATAN STM HILIR
2022,PKMK,Recycled Book - Planning Notes : Inovasi Produk Ekonomi Kreatif Berbahan Dasar Limbah Kertas Daur Ulang sebagai Upaya Penyelamatan Lingkungan
2022,PKMPI,PERANCANGAN SMART PLANT PROTECTION PADA TANAMAN CABAI HIDROPONIK BERBASIS IoT GUNA MENCEGAH GAGAL PANEN AKIBAT HAMA
2022,PKMPI,Teknologi Perancangan Sistem Kontrol Berteknologi PVBH Berbasis IoT pada Budidaya Maggot BSF dalam Peningkatan Omset Perekonomian UMKM Peternak
2022,PKMVGK,KAMPANYE KESIAPSIAGAAN BENCANA BAGI MASYARAKAT TULI DALAM MENGHADAPI ERUPSI GUNUNG SINABUNG
2022,PKMK,"""MAGIC FEED"" Pemanfaatan limbah batang pisang dengan teknologi hijauan fermentasi guna meningkatkan bobot daging ternak."
2022,PKMK,"""SONIFER CRASCO : Sebagai Inovasi Terbaru Pupuk Organik Cair Guna Merangsang Pertumbuhan Dan Perkembangan Pada Tanaman Porang."""
2022,PKMK,CIO (Clean Inovative with eco enzyme plus) sebagai pupuk untuk tanaman hortikultura dalam konsep zero waste pada sampah rumah tangga.
2022,PKMK,GEAR SHAMPOO ( Guava Leaf Hair Shampoo)Sebagai Inovasi Terbaru Guna Mengatasi Masalah Rambut Rontok dan Ketombe Pada Kulit Kepala
