experiment_id,proposal_id,mode,model_name,input_hash,generated_at,latency_ms,input_tokens,output_tokens,total_tokens,lecturer_results,title_results,success,error_message
97874156-2977-4015-9226-3c8b1f82512a,,retrieval_based,sbert,6341628248fe4e555fa59b23add9d79d5eb64a5d40d521de7d1a87c41b817d0a,2026-07-11T07:12:45.052252+00:00,12,0,0,0,[],[],True,
d5d2af1b-421d-4328-b8fc-9576f839e9d0,,retrieval_based,sbert,6341628248fe4e555fa59b23add9d79d5eb64a5d40d521de7d1a87c41b817d0a,2026-07-11T07:13:34.243191+00:00,12,0,0,0,[],[],True,
08584fad-1ef4-48a4-804b-67954d78beb1,,retrieval_based,sbert,6341628248fe4e555fa59b23add9d79d5eb64a5d40d521de7d1a87c41b817d0a,2026-07-11T07:21:28.210582+00:00,12,0,0,0,[],[],True,
21c9d279-baf2-4634-afab-080aa8454f3e,,full_llm,gemini-2.5-flash,66cdde28eac235ec270a002d330f2142f4c96b3e692502066cbea9bbdcf60304,2026-07-11T07:36:09.556183+00:00,740,0,0,0,[],[],False,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improve"
afd97cf7-0910-47c2-a250-ebed2cbafe59,,full_llm,gemini-2.5-flash,66cdde28eac235ec270a002d330f2142f4c96b3e692502066cbea9bbdcf60304,2026-07-11T07:38:09.512791+00:00,642,0,0,0,[],[],False,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improve"
5ee35ced-206b-4c81-83a5-5b6dc286aa47,,full_llm,gemini-3.5-flash,b9e4057042b8e791c924962b6d6615863c2c9f65ba2886b0685bf19ece950d13,2026-07-11T07:41:51.983111+00:00,32161,4641,845,8961,"[{""lecturer_id"": ""1"", ""lecturer_name"": ""Mujiridin"", ""rank"": 1, ""reason"": ""Memiliki keahlian di bidang Elektronika Terapan, Embedded, IoT (Arduino), dan Instrumentasi yang sangat sesuai untuk merancang perangkat keras pendeteksi cuaca berbasis sensor."", ""score"": 0.95}, {""lecturer_id"": ""3"", ""lecturer_name"": ""Harry Ramza"", ""rank"": 2, ""reason"": ""Sangat kompeten dalam bidang sensor, IoT, dan sistem IoT monitoring yang dibutuhkan untuk memantau parameter cuaca secara real-time."", ""score"": 0.92}, {""lecturer_id"": ""35"", ""lecturer_name"": ""Nuroji"", ""rank"": 3, ""reason"": ""Ahli dalam implementasi IoT (ESP32) untuk sistem monitoring, sangat relevan untuk mengirimkan data dari sensor cuaca ke platform digital."", ""score"": 0.88}, {""lecturer_id"": ""5"", ""lecturer_name"": ""Kun Fayakun"", ""rank"": 4, ""reason"": ""Fokus pada instrumentasi berbasis IoT dan mikrokontroler yang sangat mendukung perancangan sistem akuisisi data cuaca."", ""score"": 0.85}, {""lecturer_id"": ""29"", ""lecturer_name"": ""Atiqah Meutia Hilda"", ""rank"": 5, ""reason"": ""Keahlian dalam integrasi IoT, GIS, dan Machine Learning terapan sangat berguna untuk mengolah, memetakan, dan memprediksi data cuaca."", ""score"": 0.8}]","[{""rank"": 1, ""title"": ""Rancang Bangun Sistem Deteksi Cuaca Mikro Berbasis Internet of Things (IoT) untuk Optimalisasi Penjadwalan Tanam Petani Hortikultura"", ""method"": ""Rancang bangun sistem berbasis Internet of Things (IoT)"", ""object"": ""Kondisi cuaca mikro (suhu, kelembapan, curah hujan)"", ""goal"": ""Mengoptimalkan penjadwalan masa tanam"", ""context"": ""Lahan pertanian komoditas hortikultura""}, {""rank"": 2, ""title"": ""Pengembangan Sistem Deteksi Cuaca Ekstrem Menggunakan Sensor Multi-Parameter Terintegrasi NodeMCU sebagai Upaya Mitigasi Bencana bagi Nelayan Tradisional"", ""method"": ""Integrasi sensor multi-parameter dengan mikrokontroler NodeMCU"", ""object"": ""Parameter cuaca ekstrem di wilayah pesisir"", ""goal"": ""Meningkatkan keselamatan melaut melalui mitigasi bencana"", ""context"": ""Aktivitas pelayaran nelayan tradisional""}, {""rank"": 3, ""title"": ""Penerapan Metode Logika Fuzzy pada Sistem Deteksi Cuaca Real-Time Berbasis Mikrokontroler untuk Peringatan Dini Banjir di Kawasan Pemukiman"", ""method"": ""Analisis data sensor menggunakan metode Logika Fuzzy berbasis mikrokontroler"", ""object"": ""Intensitas curah hujan dan tinggi muka air"", ""goal"": ""Menyediakan sistem peringatan dini (early warning system) bencana banjir"", ""context"": ""Kawasan pemukiman padat penduduk yang rawan banjir""}]",True,
57ab3af4-d195-4fea-850e-643885d423a2,,full_llm,gemini-3.5-flash,b9e4057042b8e791c924962b6d6615863c2c9f65ba2886b0685bf19ece950d13,2026-07-11T07:42:35.135585+00:00,28865,4641,848,9814,"[{""lecturer_id"": ""1"", ""lecturer_name"": ""Mujiridin"", ""rank"": 1, ""reason"": ""Sangat sesuai karena memiliki keahlian di bidang Elektronika Terapan, Embedded, IoT (Arduino), serta Sistem Kendali & Instrumentasi yang dibutuhkan untuk merancang perangkat keras sensor pendeteksi cuaca."", ""score"": 0.92}, {""lecturer_id"": ""3"", ""lecturer_name"": ""Harry Ramza"", ""rank"": 2, ""reason"": ""Memiliki keahlian kuat dalam sensor, IoT, instrumentasi terapan, dan sistem IoT monitoring yang sangat relevan untuk memantau data cuaca secara real-time."", ""score"": 0.9}, {""lecturer_id"": ""35"", ""lecturer_name"": ""Nuroji"", ""rank"": 3, ""reason"": ""Ahli dalam implementasi IoT (ESP32, sensor) untuk solusi monitoring dan otomatisasi, sangat cocok untuk membangun sistem pendeteksi dan peringatan cuaca."", ""score"": 0.88}, {""lecturer_id"": ""29"", ""lecturer_name"": ""Atiqah Meutia Hilda"", ""rank"": 4, ""reason"": ""Menguasai integrasi IoT, GIS (Sistem Informasi Geografis), dan Machine Learning terapan yang sangat berguna untuk pemetaan lokasi dan prediksi kondisi cuaca."", ""score"": 0.85}, {""lecturer_id"": ""5"", ""lecturer_name"": ""Kun Fayakun"", ""rank"": 5, ""reason"": ""Fokus pada instrumentasi berbasis IoT dan mikrokontroler yang mendukung pengembangan perangkat keras pengumpul data cuaca."", ""score"": 0.83}]","[{""rank"": 1, ""title"": ""Sistem Deteksi Cuaca Mikro Berbasis Internet of Things (IoT) dengan Logika Fuzzy untuk Optimasi Penjadwalan Tanam Mitra Tani Hortikultura"", ""method"": ""Internet of Things (IoT) dan Logika Fuzzy"", ""object"": ""Cuaca mikro (suhu, kelembapan, curah hujan)"", ""goal"": ""Mengoptimalkan penjadwalan masa tanam"", ""context"": ""Lahan pertanian hortikultura""}, {""rank"": 2, ""title"": ""Rancang Bangun Sistem Deteksi Cuaca Ekstrem Berbasis Sensor Integratif dan Algoritma Naive Bayes sebagai Upaya Mitigasi Keselamatan Nelayan Tradisional"", ""method"": ""Sensor integratif dan Algoritma Naive Bayes"", ""object"": ""Cuaca ekstrem pesisir"", ""goal"": ""Mitigasi keselamatan nelayan melalui peringatan dini"", ""context"": ""Kawasan pesisir pantai""}, {""rank"": 3, ""title"": ""Pengembangan Sistem Deteksi Cuaca Real-Time Menggunakan Sensor Multi-Parameter Berbasis NodeMCU untuk Pendukung Keputusan Aktivitas Masyarakat Perkotaan"", ""method"": ""Sensor multi-parameter berbasis NodeMCU dan transmisi data nirkabel"", ""object"": ""Parameter cuaca lokal (suhu, kelembapan, tekanan udara)"", ""goal"": ""Mendukung pengambilan keputusan aktivitas harian masyarakat secara real-time"", ""context"": ""Kawasan pemukiman padat perkotaan""}]",True,
305a0ff0-76c1-48c0-9647-039fe758095c,,retrieval_based,paraphrase-multilingual-MiniLM-L12-v2,251755ffec048b07d90c7d552cd6868f8c697ba8a7d6f552ade65763c234be89,2026-07-12T14:59:07.314626+00:00,1514,0,0,0,[],"[{""rank"": 1, ""title"": ""Rancang Bangun Sistem Prediksi Cuaca Lokal Berbasis Machine Learning untuk Peningkatan Akurasi Informasi Cuaca pada Meteorologi Lokal"", ""method"": ""Machine Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Peningkatan Akurasi Informasi Cuaca"", ""context"": ""Meteorologi Lokal""}, {""rank"": 2, ""title"": ""Optimalisasi Sistem Prediksi Cuaca Lokal Menggunakan Machine Learning untuk Peningkatan Akurasi Informasi Cuaca"", ""method"": ""Machine Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Peningkatan Akurasi Informasi Cuaca"", ""context"": ""Meteorologi Lokal""}, {""rank"": 3, ""title"": ""Desain Sistem Prediksi Cuaca Lokal dengan Deep Learning sebagai Solusi Dukungan Keputusan Berbasis Data Meteorologi"", ""method"": ""Deep Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Dukungan Keputusan Berbasis Data Meteorologi"", ""context"": ""Meteorologi Lokal""}]",True,
0c072e89-9704-4ed7-afe7-ec6ea73d399b,,retrieval_based,paraphrase-multilingual-MiniLM-L12-v2,251755ffec048b07d90c7d552cd6868f8c697ba8a7d6f552ade65763c234be89,2026-07-12T15:02:49.162253+00:00,448,0,0,0,[],"[{""rank"": 1, ""title"": ""Rancang Bangun Sistem Prediksi Cuaca Lokal Berbasis Machine Learning untuk Peningkatan Akurasi Informasi Cuaca pada Meteorologi Lokal"", ""method"": ""Machine Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Peningkatan Akurasi Informasi Cuaca"", ""context"": ""Meteorologi Lokal""}, {""rank"": 2, ""title"": ""Optimalisasi Sistem Prediksi Cuaca Lokal Menggunakan Machine Learning untuk Peningkatan Akurasi Informasi Cuaca"", ""method"": ""Machine Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Peningkatan Akurasi Informasi Cuaca"", ""context"": ""Meteorologi Lokal""}, {""rank"": 3, ""title"": ""Desain Sistem Prediksi Cuaca Lokal dengan Deep Learning sebagai Solusi Dukungan Keputusan Berbasis Data Meteorologi"", ""method"": ""Deep Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Dukungan Keputusan Berbasis Data Meteorologi"", ""context"": ""Meteorologi Lokal""}]",True,
6f995769-65be-4834-ad11-e56222eae4dd,,retrieval_based,paraphrase-multilingual-MiniLM-L12-v2,251755ffec048b07d90c7d552cd6868f8c697ba8a7d6f552ade65763c234be89,2026-07-12T15:05:52.211329+00:00,499,0,0,0,"[{""lecturer_id"": ""39"", ""lecturer_name"": ""Irwansyah"", ""rank"": 1, ""reason"": ""Bidang keahlian (penerapan data mining dan machine learning untuk pengambilan keputusan-sering dipadukan dengan Business Intelligence dan analitik visual-pada beragam domain praktis. Jika Anda ingin selaras dengan keahliannya; topik skripsi seperti prediksi; klasifikasi berbasis NB; DT; KNN; klastering K-Means; dashboard BI (Tableau); atau sentiment analysis pada data Indonesia sangat sesuai. Data mining & Machine Learning terapan (klasifikasi; klastering; prediksi). Sistem Pendukung Keputusan (SPK) & evaluasi kinerja berbasis indeks; komposit. Business Intelligence & visualisasi data (sering memakai Tableau). Text mining; Sentiment analysis pada ulasan aplikasi; media sosial; dsb) pada program studi Teknik Informatika relevan dengan topik proposal."", ""score"": 0.5508}, {""lecturer_id"": ""26"", ""lecturer_name"": ""Mia Kamayani Sulaeman"", ""rank"": 2, ""reason"": ""Bidang keahlian (machine learning; natural language processing; information technology. NLP & machine learning untuk data teks dan perancangan; evaluasi UI-UX aplikasi edukasi dan layanan. Cocok membimbing topik yang memadukan analisis teks; sentimen dengan pembangunan sistem; aplikasi serta evaluasi pengalaman pengguna) pada program studi Teknik Informatika relevan dengan topik proposal."", ""score"": 0.5069}, {""lecturer_id"": ""16"", ""lecturer_name"": ""Mohammad Givi Efgivia"", ""rank"": 3, ""reason"": ""Bidang keahlian (Teknologi Pendidikan dan Learning Analytics-menggabungkan teori belajar; desain instruksional; dan analitik data (termasuk BI; AI) untuk merancang; mengimplementasikan; dan mengevaluasi sistem pembelajaran digital. Cocok membimbing topik e-learning; blended learning; analisis data pendidikan; serta penerapan AI untuk personalisasi pembelajaran) pada program studi STI relevan dengan topik proposal."", ""score"": 0.4979}, {""lecturer_id"": ""29"", ""lecturer_name"": ""Atiqah Meutia Hilda"", ""rank"": 4, ""reason"": ""Bidang keahlian (irisan Rekayasa Perangkat Lunak & Sistem Informasi (web; mobile) dengan Data Mining; Machine Learning terapan; EdTech; HCI; serta GIS-IoT-Cloud untuk solusi praktis. Jika Anda mahasiswa TI yang ingin bimbingan; topik paling “klik” adalah: pengembangan aplikasi (web; Android) yang memanfaatkan ML (NB; SVM; CNN) atau IoT; GIS; dilengkapi evaluasi performa; usability dan; atau model pendukung keputusan) pada program studi Teknik Informatika relevan dengan topik proposal."", ""score"": 0.4644}, {""lecturer_id"": ""38"", ""lecturer_name"": ""Nunik Pratiwi"", ""rank"": 5, ""reason"": ""Bidang keahlian (analisis sentimen dan penerapan model ML; vision pada problem nyata; lalu diikuti karya rancang bangun aplikasi untuk merealisasikan solusinya. Naive Bayes; SVM; KNN; Decision Tree (C4.5); CNN-LSTM; YOLO; ML Kit; Viola-Jones; LBP; MediaPipe; data dari media sosial; app store; implementasi Python; Android; Web. Computer vision & pengenalan pola Penerapan YOLOv8; YOLOv11; Google ML Kit; Haar; HOG untuk: deteksi sampah; pembacaan struk keuangan; face; attendance; deteksi sidik jari; kepribadian; pengukuran ukuran baju dengan MediaPipe; dsb. Data mining & machine learning terapan; Banyak studi klasifikasi; prediksi: Naive Bayes; K-Nearest Neighbor; CNN; LSTM. Objeknya beragam: opini publik; review aplikasi; prediksi harga saham; deteksi hoaks; “pornografi karakter animasi”; klasifikasi stunting balita; dsb. Keahlian pendukung: Pengembangan Aplikasi Web; Mobile dan Edutech (pemanfaatan alat digital untuk pembelajaran)) pada program studi Teknik Informatika relevan dengan topik proposal."", ""score"": 0.4583}]","[{""rank"": 1, ""title"": ""Rancang Bangun Sistem Prediksi Cuaca Lokal Berbasis Machine Learning untuk Peningkatan Akurasi Informasi Cuaca pada Meteorologi Lokal"", ""method"": ""Machine Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Peningkatan Akurasi Informasi Cuaca"", ""context"": ""Meteorologi Lokal""}, {""rank"": 2, ""title"": ""Optimalisasi Sistem Prediksi Cuaca Lokal Menggunakan Machine Learning untuk Peningkatan Akurasi Informasi Cuaca"", ""method"": ""Machine Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Peningkatan Akurasi Informasi Cuaca"", ""context"": ""Meteorologi Lokal""}, {""rank"": 3, ""title"": ""Desain Sistem Prediksi Cuaca Lokal dengan Deep Learning sebagai Solusi Dukungan Keputusan Berbasis Data Meteorologi"", ""method"": ""Deep Learning"", ""object"": ""Sistem Prediksi Cuaca Lokal"", ""goal"": ""Dukungan Keputusan Berbasis Data Meteorologi"", ""context"": ""Meteorologi Lokal""}]",True,
